test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
ADAMTS4	ADAMTS4	ADAMTS4	chr1:161159537-161168845	patient	control	OK	118.001	48.454	-128.411	-43.619	5,00E-05	0.0140016	yes
AOC3	AOC3	AOC3	chr17:41003200-41010147	patient	control	OK	11.335	457.446	-130.911	-43.654	5,00E-05	0.0140016	yes
APOD	APOD	APOD	chr3:195295572-195311076	patient	control	OK	207.113	540.507	13.839	471.016	5,00E-05	0.0140016	yes
ARHGAP40	ARHGAP40	ARHGAP40	chr20:37230576-37279295	patient	control	OK	643.756	188.355	154.887	530.044	5,00E-05	0.0140016	yes
ARHGEF19	ARHGEF19	ARHGEF19	chr1:16524598-16539104	patient	control	OK	357.156	112.397	-166.795	-60.984	5,00E-05	0.0140016	yes
ARRDC1	ARRDC1	ARRDC1	chr9:140500095-140513308	patient	control	OK	699.613	139.438	0.994996	340.275	0.0003	0.0493798	yes
ATL1	ATL1	ATL1	chr14:50999799-51099784	patient	control	OK	76.407	249.703	-161.349	-441.121	5,00E-05	0.0140016	yes
ATP6V0D2	ATP6V0D2	ATP6V0D2	chr8:87111138-87166454	patient	control	OK	141.496	602.768	-123.109	-398.314	0.0002	0.0383333	yes
BCAT1	BCAT1	BCAT1	chr12:24962957-25102393	patient	control	OK	191.027	586.341	-170.397	-622.628	5,00E-05	0.0140016	yes
BMP2	BMP2	BMP2	chr20:6748744-6760910	patient	control	OK	961.681	336.814	-151.361	-466.973	5,00E-05	0.0140016	yes
BPIFB1	BPIFB1	BPIFB1	chr20:31870940-31897684	patient	control	OK	36.651	761.925	10.558	395.806	0.00015	0.03125	yes
C9orf152	C9orf152	C9orf152	chr9:112961845-112970413	patient	control	OK	126.281	293.493	121.669	444.641	5,00E-05	0.0140016	yes
CCL5	CCL5	CCL5	chr17:34198495-34207377	patient	control	OK	263.041	571.128	111.852	400.647	5,00E-05	0.0140016	yes
CD109	CD109	CD109	chr6:74403625-74538041	patient	control	OK	245.725	920.931	-141.588	-522.319	5,00E-05	0.0140016	yes
CEMIP	CEMIP	CEMIP	chr15:81071711-81243999	patient	control	OK	838.152	219.043	-1.936	-651.489	5,00E-05	0.0140016	yes
CHI3L1	CHI3L1	CHI3L1	chr1:203148058-203155922	patient	control	OK	521.762	786.714	-272.948	-907.519	5,00E-05	0.0140016	yes
CITED4	CITED4	CITED4	chr1:41326727-41328018	patient	control	OK	550.335	145.476	14.024	520.669	5,00E-05	0.0140016	yes
CNN1	CNN1	CNN1	chr19:11649578-11661138	patient	control	OK	237.007	108.075	-11.329	-374.136	0.0003	0.0493798	yes
COL10A1	COL10A1	COL10A1	chr6:116421998-116566853	patient	control	OK	168.116	608.885	-146.522	-479.166	5,00E-05	0.0140016	yes
CRYAB	CRYAB	CRYAB	chr11:111779343-111797595	patient	control	OK	741.219	291.357	-134.711	-423.311	5,00E-05	0.0140016	yes
